,ep_reward,steps,avg_reward
534,-80.91179269099368,168,-64.16958361065929
535,-94.71333614734604,500,-65.66542595509046
536,-104.2728484645729,500,-66.67138113918797
537,-205.0840894580599,352,-69.73981656010686
538,-229.29557688000335,168,-72.51169594112585
539,-115.85932640807295,341,-72.32591139395409
540,-157.23783222247127,500,-72.90623199940399
541,-195.60870520071745,301,-74.61161230733568
542,-67.86375785000394,500,-74.90703014513308
543,-87.12719689245326,500,-76.07974837502466
544,-42.893184129763995,500,-74.38177895627248
545,-46.03044958260716,259,-73.44169708740327
546,-181.61854801141294,120,-73.18141129527189
547,-303.3408405191974,210,-74.42304481536254
548,-529.5784910679843,296,-77.41483829434286
549,-18.7172085794219,500,-73.94362927861131
550,-17.530805620173833,500,-71.85708695776492
551,16.579096328761093,500,-71.30907789182265
552,-130.28697954235363,500,-72.84680690007313
553,-268.0326358223393,500,-75.65077602746018
554,-1221.1086707899992,500,-87.28043978333682
555,-445.6295297290918,423,-89.68955212973165
556,-134.84175925660887,500,-88.24026934817195
557,19.65049211340341,500,-88.09630642545297
558,18.465452502166414,500,-87.89365451185338
559,5.305924374566125,500,-87.96021288101414
560,44.242183265088,500,-86.98953761999923
561,30.867365687817525,500,-86.49415049009467
562,103.73366698219297,500,-85.63382772890841
563,65.37384501241047,500,-82.16135076318629
564,-37.114076167877506,500,-82.60218614629957
565,12.398158587067416,500,-84.03989271454031
566,-331.49542674748363,500,-86.7913409109406
567,-428.1078713452183,500,-90.3685429373071
568,-417.76498059318504,389,-94.48386800979598
569,-837.295559098864,500,-102.60457404394751
570,-1073.9237727860623,243,-113.05788150882763
571,-941.9101125774271,235,-122.10150773332302
572,-37.35424793840615,500,-121.61746577415158
573,-204.641403737678,111,-122.32898025708224
574,-293.1139731196832,128,-122.07221150386009
575,-321.9002885907165,500,-123.09915138857505
576,-24.982032635607702,500,-120.93256463916221
577,53.694488475400966,500,-119.27044871248175
578,71.41659623184029,500,-118.01150561656516
579,101.88166999732869,500,-119.0777344164314
580,-66.99402498035059,162,-119.46444381753645
581,67.73534329467323,500,-117.85984759715836
582,123.75211543540016,500,-116.10701704549541
583,-202.1683008727017,311,-120.67547015894776
584,-82.07307808049838,298,-121.70978826073839
585,-160.51122622647074,113,-125.08901253188026
586,-206.90819851899153,310,-126.8572479779894
587,202.74641067377956,426,-123.58863948247883
588,71.95286886602982,500,-122.53810344571951
589,45.07264976551545,500,-121.75896346299947
590,45.48119699186124,500,-121.648900636129
591,37.98973891858425,500,-121.02354656396534
592,66.9017511042575,500,-120.33851297542331
593,53.41055984651971,500,-119.6006280972153
594,75.8416640491311,500,-117.86339958220321
595,115.62016354094054,500,-118.78775245706055
596,98.17910815066348,500,-117.59953815556692
597,-208.81394266051433,500,-119.25731550445224
598,-443.5849760185243,363,-122.9894988567443
599,50.43102646293004,500,-122.6714492251101
600,51.691138620162285,500,-122.11130196174763
601,-301.4133565491662,285,-124.73794843481632
602,-222.7466209609907,138,-126.16021909514443
603,59.81552012163942,500,-125.30973200290644
604,30.12639615455543,500,-124.75382483008485
605,12.641338318950735,500,-124.1184238815254
606,54.35209278434381,500,-122.0378996120448
607,-4.280484708293289,500,-121.61079545467517
608,-8.45633846543333,500,-121.03669511653587
609,1.8035596402574483,500,-120.3557674786891
610,5.477100087134178,500,-120.208425918753
611,39.673549448742435,500,-117.92891084852812
612,44.16018305495741,500,-115.94037609670076
613,19.80158262652459,500,-115.65046197156914
614,-331.7118634043368,376,-117.27216426574972
615,-84.68812355360278,500,-117.66614368229091
616,-373.82413210664595,311,-120.98867436634998
617,-1.1307632365705045,500,-120.11870751442336
618,-3.6239792428439337,500,-119.18437741749366
619,47.97251836780268,500,-117.53729835007242
620,18.80614679313836,500,-116.52153293811405
621,-224.19900250680269,298,-117.73911181337071
622,-226.11363709270924,394,-119.23092792284814
623,-59.84712996355772,217,-118.75584546243195
624,-30.08805444228899,500,-117.67654636867994
625,52.21246353213814,500,-116.09152135724085
626,-71.45222098430918,500,-114.7919766824046
627,32.68744903002496,500,-114.47347749312243
628,33.96711779256549,500,-112.77216506630162
629,-216.19144781473776,295,-115.02428269768411
630,-240.69786523259222,250,-116.62708690339417
631,19.157443183168244,500,-115.40456731428718
632,-148.18000619268383,422,-115.62448172852731
633,-228.32633872373484,437,-116.52143286528775
634,-399.06808717955766,133,-119.70299581017339
635,20.542281807056042,500,-118.55043963062937
636,-109.2172926361691,328,-118.59988407234533
637,38.554728664253375,500,-116.1634958911222
638,-80.11019137315208,304,-114.6716420360537
639,-96.81819647022705,397,-114.48123073667524
